date,open,high,low,close,volume
2025-01-01,100,102,99,101,120000
2025-01-02,101,103,100,102,121000
2025-01-03,102,103,98,99,125000
2025-01-04,99,100,95,96,130000
2025-01-05,96,98,94,97,128000
2025-01-06,97,99,96,98,126000
2025-01-07,98,101,97,100,124000
2025-01-08,100,104,99,103,123000
2025-01-09,103,105,101,104,122000
2025-01-10,104,106,103,105,121000
2025-01-11,105,106,101,102,127000
2025-01-12,102,103,98,99,132000
2025-01-13,99,100,95,96,136000
2025-01-14,96,97,92,93,139000
2025-01-15,93,95,91,94,137000
2025-01-16,94,97,93,96,134000
2025-01-17,96,100,95,99,130000
2025-01-18,99,103,98,102,128000
2025-01-19,102,106,101,105,126000
2025-01-20,105,108,103,107,124000
2025-01-21,107,109,104,105,129000
2025-01-22,105,106,100,101,133000
2025-01-23,101,102,96,97,138000
2025-01-24,97,98,93,94,140000
2025-01-25,94,96,92,95,137000
2025-01-26,95,98,94,97,135000
2025-01-27,97,101,96,100,131000
2025-01-28,100,104,99,103,129000
2025-01-29,103,107,102,106,126000
2025-01-30,106,109,104,108,124000
